nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
MILLION DOLLAR BABY,Tommy Richman,1,725.4,"390,470,936","30,716","196,631,588",92,210,62,"17,598,718"
Not Like Us,Kendrick Lamar,2,545.9,"323,703,884","28,113","174,597,137",92,188,67,"10,422,430"
i like the way you kiss me,Artemas,3,538.4,"601,309,283","54,331","211,607,669",92,190,136,"36,321,847"
Flowers,Miley Cyrus,4,444.9,"2,031,280,633","269,802","136,569,078",85,394,264,"24,684,248"
Houdini,Eminem,5,423.3,"107,034,922","7,223","151,469,874",88,182,82,"17,660,624"
Lovin On Me,Jack Harlow,6,410.1,"670,665,438","105,892","175,421,034",83,138,86,"17,167,254"
Beautiful Things,Benson Boone,7,407.2,"900,158,751","73,118","201,585,714",86,280,168,"48,197,850"
Gata Only,FloyyMenor,8,375.8,"675,079,153","40,094","211,236,940",92,160,87,"33,245,595"
BAND4BAND (feat. Lil Baby),Central Cee,10,330.6,"90,676,573","10,400","184,199,419",86,191,78,"10,800,098"
I Had Some Help (feat. Morgan Wallen),Post Malone,11,322.1,"250,080,413","16,219","168,766,158",91,157,60,"12,009,073"
LUNCH,Billie Eilish,13,316.3,"221,636,195","13,800","197,280,692",92,244,138,"38,243,636"
Like That,Future,14,308.2,"355,186,436","43,025","108,168,634",88,153,55,"3,001,826"
LALA,Myke Towers,16,299.9,"925,655,569","103,605","79,944,921",79,94,60,"5,633,435"
Fortnight (feat. Post Malone),Taylor Swift,17,297.6,"395,433,400","12,784","177,932,568",89,221,99,"37,988,531"
greedy,Tate McRae,18,293.7,"1,258,569,694","105,218","198,845,580",87,207,188,"21,788,568"
BLUE,Billie Eilish,19,292.6,"91,272,461","6,499","52,287,548",86,76,24,"5,054,005"
As It Was,Harry Styles,20,292,"3,301,814,535","407,119","169,783,402",87,455,330,"12,907,852"
Paint The Town Red,Doja Cat,21,290.5,"1,065,399,331","170,890","121,712,197",78,158,143,"13,718,632"
Espresso,Sabrina Carpenter,22,281.5,"547,882,871","24,425","262,343,414",95,298,167,"41,414,565"
TEXAS HOLD 'EM,Beyoncï¿,24,278.9,"426,700,979","34,044","152,928,632",86,159,194,"40,725,482"
Beat Automotivo Tan Tan Tan Viral,WZ Beat,26,268.1,"7,382,759","3,504","661,084",35,1,1,6
STAY (with Justin Bieber),The Kid LAROI,27,266.3,"3,107,100,349","451,732","134,793,519",78,513,166,"5,783,693"
Baby Shark,Pinkfong,28,265.7,"720,822,868","60,945","7,530,769",71,33,19,"52,179"
we can't be friends (wait for your love),Ariana Grande,29,262.8,"591,068,364","26,203","197,494,995",87,194,117,"22,062,193"
SHEESH,BABYMONSTER,32,237.5,"124,893,397","3,479","25,936,342",82,36,3,"347,997"
Water,Tyla,33,234.6,"670,376,179","98,450","150,471,020",83,225,180,"19,469,488"
Strangers,Kenya Grace,34,233.5,"750,154,960","139,141","103,879,363",79,163,113,"16,295,286"
A Bar Song (Tipsy),Shaboozey,37,226.4,"311,928,522","25,766","180,237,463",96,149,58,"26,516,005"
Lose Control,Teddy Swims,38,224.1,"775,135,157","88,239","180,617,454",87,215,133,"42,675,181"
fukumean,Gunna,39,221.1,"759,998,727","188,142","80,392,612",80,123,40,"2,225,409"
Dance Monkey,Tones And I,40,214.5,"3,071,214,106","375,201","64,901,153",71,549,584,"5,749,770"
BIRDS OF A FEATHER,Billie Eilish,41,212.8,"214,237,645","10,871","202,626,837",92,247,67,"11,523,335"
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,42,211.2,"170,970,614","27,827","5,784,546",41,2,4,"35,737"
I'm Good (Blue),David Guetta,43,209.6,"1,658,229,422","262,248","239,957,538",83,285,207,"6,479,623"
Daylight,David Kushner,44,207,"1,126,820,069","177,800","85,255,689",82,163,77,"3,413,707"
My Love Mine All Mine,Mitski,45,206.2,"997,702,304","105,927","92,834,002",86,91,63,"10,874,749"
Please Please Please,Sabrina Carpenter,46,205.7,"59,314,441","2,572","183,043,096",83,199,73,"13,686,074"
Houdini,Dua Lipa,47,205.1,"493,627,071","45,300","87,874,006",80,174,146,"28,246,184"
If We Ever Broke Up,Mae Stephens,49,203.6,"304,929,492","43,923","46,133,083",69,78,41,"3,467,570"
Despacito,Luis Fonsi,50,203.5,"1,747,093,405","178,114","49,464,650",74,179,145,"1,977,014"
euphoria,Kendrick Lamar,51,202.1,"168,434,320","17,168","62,516,401",86,65,20,"428,378"
Calm Down (with Selena Gomez),Rema,53,198,"1,391,688,322","163,876","130,963,116",77,316,112,"11,937,930"
Shape of You,Ed Sheeran,54,195.1,"3,909,458,734","316,378","148,037,882",80,465,512,"2,710,931"
Blinding Lights,The Weeknd,56,194,"4,281,468,720","590,392","165,544,011",83,859,564,"11,701,129"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,57,192.3,"1,337,619,917","228,295","64,806,723",80,152,58,"2,134,791"
Unholy (feat. Kim Petras),Sam Smith,60,189.1,"1,556,275,789","210,583","95,974,138",74,203,63,"1,616,564"
Supernova,aespa,63,186.1,"69,729,033","2,483","21,046,278",81,40,7,"544,322"
Me Porto Bonito,Bad Bunny,64,184.8,"1,811,990,630","173,358","67,603,671",79,124,44,"14,871,714"
Calm Down,Rema,66,180.1,"584,427,088","182,994","19,203,258",68,138,53,"3,481,756"
CARNIVAL,ýý$,67,179.6,"466,887,055","53,842","103,935,623",84,42,11,"199,915"
Kill Bill,SZA,68,177.7,"1,873,746,537","190,202","99,546,318",82,214,73,"1,304,067"
"\"What Was I Made For? [From The Motion Picture \"\"Barbie\"\"]\"",Billie Eilish,69,177.6,"891,720,245","114,560","97,542,546",82,168,108,"10,920,686"
Heat Waves,Glass Animals,71,175,"2,996,181,078","486,278","112,416,489",82,459,170,"11,862,378"
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,73,174.3,"946,941,510","100,130","74,836,321",74,110,106,"4,971,379"
Old Town Road,Lil Nas X,75,170.3,"1,010,494,713","127,393","18,652,312",67,63,64,"397,418"
un x100to,Grupo Frontera,76,170.2,"1,008,495,696","99,381","57,394,938",75,101,42,"5,734,172"
Sprinter,Dave,78,168.1,"692,512,930","199,828","55,464,762",78,155,41,"1,790,031"
CHIHIRO,Billie Eilish,79,167.8,"169,410,711","11,028","144,854,768",90,185,53,"20,737,850"
TQG,KAROL G,80,167.8,"1,024,381,758","78,554","69,319,589",78,138,84,"8,850,320"
Perfect,Ed Sheeran,81,167.5,"2,969,999,682","280,165","116,921,604",81,208,343,"1,242,581"
